Month,ArbaMinch,Chincha,Zigit
jan,48.26242424881133,54.20960387475239,46.11839502966185
feb,58.24851948321672,51.48654167557829,53.7786855052426
mar,79.87693685968438,99.63560288534887,87.14888077785645
apr,179.47783222833752,164.1404465972625,165.41143304646098
may,163.68767580351852,154.39703386968895,158.9602958832145
jun,112.01038261738307,94.67536868190778,113.10305563567893
jul,78.40497628796703,77.50068493836667,84.5772744601586
aug,73.99416047693774,92.16551830409881,81.66463073037382
sep,129.26541984850843,132.25713993782605,126.38492603938636
oct,124.38380602500531,132.25713993782605,126.38492603938636
nov,96.52901627053822,86.46988840888234,101.3070022041009
dec,55.858849850091744,60.80503088846133,55.16049464847863
