date,Ambagiorgis Sch,Aymba,Chewahit,Gondar A.P.,Maksegnit,Shembekit
01/01/2006,0,0,0,0,0,0
02/01/2006,0,0,0,0,0,0
03/01/2006,0,0,0,0,0,0
04/01/2006,0,0,0,0,0,0
05/01/2006,0,0,0,0,0,0
06/01/2006,0,0,0,0,0,0
07/01/2006,0,0,0,0,0,0
08/01/2006,0,0,0,0,0,0
09/01/2006,0,0,0,0,0,0
10/01/2006,0,0,0,0,0,0
11/01/2006,0,0,0,0,0,0
12/01/2006,0,0,0,0,0,0
13/01/2006,0,0,0,0,0,0
14/01/2006,0,0,0,0,0,0
15/01/2006,0,0,0,0,0,0
16/01/2006,0,0,0,0,0,0
17/01/2006,0,0,0,0,0,0
18/01/2006,0,0,0,0,0,0
19/01/2006,0,0,0,0,0,0
20/01/2006,0,0,0,0,0,0
21/01/2006,0,0,0,0,0,0
22/01/2006,0,0,0,0,0,0
23/01/2006,0,0,0,0,0,0
24/01/2006,0,0,0,0,0,0
25/01/2006,0,0,0,0,0,0
26/01/2006,0,0,0,0,0,0
27/01/2006,0,0,0,0,0,0
28/01/2006,0,0,0,0,0,0
29/01/2006,0,0,0,0,0,0
30/01/2006,0,0,0,0,0,0
31/01/2006,0,0,0,0,0,0
01/02/2006,0,0,0,0,0,0
02/02/2006,0,0,0,0,0,0
03/02/2006,0,0,0,0,0,0
04/02/2006,0,0,1.3,0,0,0
05/02/2006,0,0,0,0,0,0
06/02/2006,0,0,0,0,0,0
07/02/2006,0,0,0,0,0,0
08/02/2006,0,0,0,0,0,0
09/02/2006,0,0,0,0,0,0
10/02/2006,0,0,0,0,0,0
11/02/2006,0,0,0,0,0,0
12/02/2006,0,0,0,0,0,0
13/02/2006,0,0,0,0,0,0
14/02/2006,0,0,0,0,0,0
15/02/2006,0,0,0,0,0,0
16/02/2006,0,0,0,0,0,0
17/02/2006,0,0,0,0,0,0
18/02/2006,0,0,0,0,0,0
19/02/2006,0,0,0,0,0,0
20/02/2006,0,0,0,0,0,0
21/02/2006,0,0,0,0,0,0
22/02/2006,0,0,0,0,0,0
23/02/2006,0,0,0,0,0,0
24/02/2006,0,0,0,0,0,0
25/02/2006,0,0,0,0,0,0
26/02/2006,0,0,0,0,0,0
27/02/2006,0,0,0,0,0,0
28/02/2006,0,0,0,0,0,0
01/03/2006,0,0,0,0,0,0
02/03/2006,0,0,0,0,0,0
03/03/2006,0,0,0,0,0,0
04/03/2006,0,0,0,0,0,0
05/03/2006,0,0,0,0,0,0
06/03/2006,0,0,0,0,0,0
07/03/2006,0,0,0,0,0,0
08/03/2006,0,0,0,0,0,0
09/03/2006,0,0,0,0,0,0
10/03/2006,0,0,0,0,0,0
11/03/2006,0,0,0,0,0,0
12/03/2006,0,0,0,0,2.4,0
13/03/2006,0,0,0,0.6,0,0
14/03/2006,0,0,0,0,0,0
15/03/2006,1.2,5.4,0,0,0,0
16/03/2006,15.1,0,0,7.6,0,0
17/03/2006,0,0,0,0,1,0
18/03/2006,0,0,0,2.6,0,0
19/03/2006,0,0,0,0,0,0
20/03/2006,0,0,0,0,0,0
21/03/2006,0,0,0,0,0,0
22/03/2006,0,0,0,0,0,0
23/03/2006,0,0,0,0,0,0
24/03/2006,0,0,0,0,6,0
25/03/2006,0,0,0,0,0,0
26/03/2006,0,0,0,0,0,0
27/03/2006,0,0,0,0,0,0
28/03/2006,0,0,0,0,0,0
29/03/2006,0,0,0,0,0,0
30/03/2006,0,0,0,0,0,0
31/03/2006,0,0,0,0,0,0
01/04/2006,0,0,0,0,0,0
02/04/2006,0,0,0,0,0,0
03/04/2006,0,0,0,0,0,0
04/04/2006,0,0,0,0,0,0
05/04/2006,0,0,0,0,0,0
06/04/2006,0,0,0,0,0,0
07/04/2006,0,0,0,0,0,0
08/04/2006,0,0,0,0,0,0
09/04/2006,0,0,0,0,0,0
10/04/2006,0,0,0.5,1.8,0.9,2.3
11/04/2006,10.1,0,0.2,3.6,0.7,11.4
12/04/2006,4.2,0,0,4.3,0,0.9
13/04/2006,0,0,0,0,0,0
14/04/2006,12,0,0,0,0,0
15/04/2006,0,3.5,0,0,0,0
16/04/2006,10.9,0,0,0,0,0
17/04/2006,0,0,0,0,0,0
18/04/2006,0,0,0,0,0,0
19/04/2006,8.7,0,2.4,7.2,0,0
20/04/2006,3.9,0,0,0,0,0
21/04/2006,0,0,0,0,0,0
22/04/2006,0,0,0,1.6,0,0
23/04/2006,0,0,0,0,3.2,0
24/04/2006,0,0,4.2,9.3,0.3,0
25/04/2006,0,0,0,0,16.7,0
26/04/2006,0,0,0,0,0,0
27/04/2006,0,0,0,0,0,0
28/04/2006,0,0,0,0,0,0
29/04/2006,0,0,0,0,0,0
30/04/2006,0,0,0,0,0,0
01/05/2006,0,0,,0,0,0
02/05/2006,7.6,0,,4.3,5.3,6.4
03/05/2006,0,10,,0,0.3,2.3
04/05/2006,0,0,,0.3,0,0
05/05/2006,0,0,,0,0,0
06/05/2006,0,5.3,,0,0.3,0
07/05/2006,0,20,,10.1,0.5,7.9
08/05/2006,7.6,0.5,,1.2,3.1,7.7
09/05/2006,0,10.5,,0,0,0.2
10/05/2006,0,0,,0,0,0
11/05/2006,0,8.5,,0,0,0
12/05/2006,0,10,,0,0,0
13/05/2006,0,7.5,,0,0,0
14/05/2006,2.7,8.4,,3.6,2.1,5.9
15/05/2006,8.6,0,,3.3,19.7,0
16/05/2006,0,6.4,,0.4,0,6.2
17/05/2006,0,20,,7.7,2.7,6.1
18/05/2006,5.6,15.5,,56.7,13.6,30.4
19/05/2006,12.4,5.5,,9.6,4.8,10.4
20/05/2006,0,4.3,,0.3,2.2,5.2
21/05/2006,22.1,10.4,,20.6,8,2.6
22/05/2006,0,9.5,,0,2.1,0.3
23/05/2006,2.5,18.5,,1.8,3.3,15
24/05/2006,7,5.2,,2.7,9,6.4
25/05/2006,17.8,3.5,,3.4,4.1,2.4
26/05/2006,0,0,,1.4,7.2,0
27/05/2006,0,0,,13.3,0,2.6
28/05/2006,4.5,0,,0.4,0,2.1
29/05/2006,0,10.5,,0,0,0
30/05/2006,17.6,0.5,,2.9,5.2,0
31/05/2006,15.9,10,,8.6,8.3,9.7
01/06/2006,0,0,12.5,0,0.2,6.2
02/06/2006,10.1,0,0,3.1,14,4.2
03/06/2006,0,15.5,46.1,0,9.8,0
04/06/2006,0,7.5,9.1,8.3,4.2,0
05/06/2006,0,0,17.5,0,0,0
06/06/2006,0,0,12.3,0,0,1.3
07/06/2006,0,0,0,0,2.7,2.1
08/06/2006,0,0,5.6,0,5.4,0
09/06/2006,0,0,0.8,0,4.7,0
10/06/2006,0,3.5,0,9.6,0,5.5
11/06/2006,25.5,5.4,12.1,1.8,0,0
12/06/2006,0,0,3.2,1.4,14.3,0
13/06/2006,0,0,14.7,2.3,5.7,0
14/06/2006,6.5,10.5,0,0,2.3,0
15/06/2006,0,17.4,0.4,0,0,0
16/06/2006,9.3,6.3,0,0.4,0,15.9
17/06/2006,6.7,5,0,2.2,0,11.6
18/06/2006,0,0,0.6,0,0.6,0
19/06/2006,0,0,6.8,0,0,6.9
20/06/2006,0,0,0,16.3,12.9,23.2
21/06/2006,0,7.3,1.2,0,3.8,0
22/06/2006,16.4,6.1,0.3,19.8,17.2,0.9
23/06/2006,0,8.5,15.1,0.7,2,0
24/06/2006,0,15.5,13.3,2.2,10.6,0
25/06/2006,0,20.4,0.4,0,0,2.4
26/06/2006,0,10,0,0,0,0
27/06/2006,0,8.5,0,0,0,2.4
28/06/2006,0,6.3,7.8,0.8,0,0
29/06/2006,13.6,0,7,9.7,23.1,0
30/06/2006,0,9.4,0,20.1,0,8.4
01/07/2006,0,10,1.6,1,2.7,0.2
02/07/2006,20.6,8.5,4.2,5,5,1.3
03/07/2006,3.5,15.3,0,3.7,1,0
04/07/2006,21.7,20.4,4.2,24,26.1,3.4
05/07/2006,16.5,10.6,2.4,11.7,19.7,7.2
06/07/2006,25.8,22.4,20.4,3.3,25,2.1
07/07/2006,13.4,15.6,5.3,1.3,6.7,0.1
08/07/2006,0,20.3,2.3,0.2,0.3,0
09/07/2006,7.6,10.2,19.2,4.2,7.3,4.2
10/07/2006,6.3,8.5,12.2,6.7,29.3,10.4
11/07/2006,23.9,0,20.5,3.8,13.2,12.5
12/07/2006,12.8,15.4,5.4,8.2,24.5,3.5
13/07/2006,6.7,18.5,9.1,4.4,38,6.8
14/07/2006,16.4,5,1.2,2.2,7.2,7.4
15/07/2006,3.9,19,2.5,0.2,0,3.2
16/07/2006,0,15.4,0,0.1,0,0.8
17/07/2006,2.6,18,4.5,9.2,10.3,6.9
18/07/2006,0,3.5,7.2,9.7,16,15.2
19/07/2006,6.8,20.5,21.6,7.2,3,12.6
20/07/2006,43,19.4,2.5,13.8,3.9,13.5
21/07/2006,4.2,0,0.6,6.7,15.1,0
22/07/2006,8.4,0,1.5,3.5,0.8,1.3
23/07/2006,0,5.2,0.5,0.8,18.9,2.8
24/07/2006,4.6,25,0.3,1.5,28.5,0
25/07/2006,0,30,2.3,0,9.2,0
26/07/2006,1.4,18.2,2.2,3.6,5.1,7.6
27/07/2006,0,10.3,4.2,27.4,4.8,3
28/07/2006,4.8,30.5,69.4,19.2,66.7,7.4
29/07/2006,14.5,20,27.6,65.5,25,28.2
30/07/2006,18,15.2,4.4,13.3,9.4,37.3
31/07/2006,22.6,18,2.6,30.1,14.1,21.5
01/08/2006,13.6,10,12.8,25,7.5,6.6
02/08/2006,16.5,25.4,2.9,0,1.7,0
03/08/2006,18.7,30.5,0,8.5,4.4,13.2
04/08/2006,5.3,6.2,21.1,11.6,7.9,47.2
05/08/2006,6.8,24.3,7.5,4.4,13,12.3
06/08/2006,36.5,8.1,3.6,3.1,6.8,2.9
07/08/2006,37.8,20.4,9.2,70.5,24.6,19.7
08/08/2006,15.3,18.2,27.5,20.1,16.8,35
09/08/2006,3.8,0,24.1,0.2,2.2,3.4
10/08/2006,16.5,30,1.9,54.2,3.9,14.2
11/08/2006,1.1,50,9.8,2.1,6.7,0
12/08/2006,25.2,15,9.2,9.3,5.9,7.2
13/08/2006,21.1,10,3.4,7.5,4,40.2
14/08/2006,0,20,5.4,4.6,0,5.8
15/08/2006,11.4,30.2,0.1,11.2,7.5,9.6
16/08/2006,28.6,10.3,3.5,15.9,17.5,4.3
17/08/2006,10.3,18,6.2,1.3,5,33.5
18/08/2006,10.7,15,7.6,14.5,0,24.1
19/08/2006,5.6,0,2.6,5.9,3.5,2.2
20/08/2006,11.5,30,4.3,3.1,2.5,14.5
21/08/2006,15.8,15.3,7.6,6.4,0,2
22/08/2006,5.3,10.4,8.1,1.1,11,20.1
23/08/2006,10.2,20.3,4.9,16.8,6,7.3
24/08/2006,14.8,18.1,14.8,4.7,16,21.2
25/08/2006,8.3,0,7.9,4.9,10.1,7.3
26/08/2006,18.2,9,1.4,4.5,1.4,23.2
27/08/2006,0,0,1.4,5.4,0,9.7
28/08/2006,0,8.5,4.1,0,0,14.6
29/08/2006,9.8,20.3,0,6.8,0.3,0.3
30/08/2006,1.6,10.8,5.7,5.1,46.4,13.3
31/08/2006,19.9,20.6,16,10.4,33,11.3
